,type,sen
198,【伤感语句】,  派大星：“嗨，海绵宝宝，我们去抓水母吧。”海绵宝宝：“对不起，今天不行，我要上学。”派大星：“如果你去上学的话，我今天该干点什么?”海绵宝宝：“我不知道，一般我不在家的时候，你都干些什么啊?”派大星：“等你回来。”
199,【伤感语句】,  她总笑他：老头子，这么多年，你都没改掉赖床的习惯。他每次都答：我喜欢听你每天喊我起床。直至一天她与邻居聊天，老姐妹说笑道：你呀，真有福气，晚上睡不着你家那口子就整夜陪着你散步，羡慕死旁人了。回家逼问他才知，原来自己一直有梦游症。当爱成习惯，已无需倾尽告之。
200,【伤感语句】,  他们因为误会，分道扬镳。如今，在繁华的闹市，他们迎面擦过。她望着他，他望着她，眼睛清澈明亮。男友问：他是谁啊?一直望着你。他的女友也问道。我们，不约而同的答道：路人。
201,【伤感语句】,  家里买了一台大电视，我想放客厅，可老妈想放他们卧室，一直争执不下，最后还是老妈妥协了。很多年过去了，有天老妈发信息：电视放我和你爸卧室其实是想让你能来我们屋看，这样可以多陪陪我们……当即释怀，忍不住大哭。
202,【伤感语句】,  我问老公：“如果是我得了绝症，你会给我治吗?”老公快睡着了，迷迷糊糊说：“别瞎说……倾家荡产也得治!”我说：“如果你得了呢?”老公：“那就不治了。剩下你一个人，挣钱不容易。”
203,【伤感语句】,  姥爷去世了。妈妈平静地处理完后事，晚上回来她栽倒在床上抽泣道：“女儿，你知道吗，妈妈没有爸爸了……”我顿时心酸至极。
204,【伤感语句】,  5岁：“妈妈，烧红烧肉吧。”“行，烧。”15岁：“妈妈，别烧红烧肉了，换换味道。”“行，买别的菜。”35岁：“儿子，啥时候回家吃一顿啊?妈给做红烧肉。”“不行，最近忙。”50岁：“妈妈今天路过你家，给你带红烧肉。”“不行，今天不在家。”70岁：“妈，我想吃红烧肉。”再也没有妈妈的声音……
205,【伤感语句】,  一人高中时沉迷网络，时常半夜翻墙出校上网。一日他照例翻墙，翻到一半即拔足狂奔而归，面色古怪，问之不语。从此认真读书，不再上网，学校盛传他见鬼了。后来他考上名校，昔日同学问及此事，他沉默良久说，那天父亲来送生活费，舍不得住旅馆，在墙下坐了一夜。
206,【伤感语句】,  如果哪天你真的撑不住了，眼睛红红的站在我面前，你什么都不用说，我也什么都不会问，我带你走，无论去哪，就算全世界离开你，还有我。
207,【伤感语句】,  很难过吧，有几百页聊天记录的人说离开就离开了。你有没有试过回头去看你跟一个人的聊天记录，从一开始到现在。看着看着就笑了，笑着笑着就哭了。一个人，从陌生走近你，然后再陌生，这大概就是你和他的全部了。
